component_name	display_name	slug	service_category	subcategory	surface	availability	official_website	evidence_url	evidence_type	source_date	catalogue_status	logo_decision	notes
-	GoTagihan – PGN Gas	gotagihan-pgn-gas	Utilities & Bills	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; named PGN provider row is tracked separately.
-	GoTagihan – Education	gotagihan-education	Education & Invoicing	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Generic education category; school/provider list must be verified in-app before adding marks.
-	GoTagihan – Insurance	gotagihan-insurance	Finance & Insurance	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; named insurance providers are tracked below.
-	GoTagihan – Streaming	gotagihan-streaming	Streaming & Subscriptions	Taxonomy category	GoTagihan	Android-only	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Android-only taxonomy category; named products and direct integrations are tracked below.
-	GoTagihan – Digital & Game Voucher	gotagihan-digital-game-voucher	Games & Vouchers	Taxonomy category	GoTagihan	Android-only	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Android-only taxonomy category; product brands are tracked below, not denominations/SKUs.
-	GoTagihan – TELKOM	gotagihan-telkom	Telco & Data	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; Telkom fixed-line provider row is tracked separately.
-	GoTagihan – IPL	gotagihan-ipl	Utilities & Bills	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	IPL is a building/estate directory; no universal canonical IPL logo should be guessed.
-	GoTagihan – Pegadaian	gotagihan-pegadaian	Finance & Insurance	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Category metadata only; named Pegadaian provider row is tracked separately.
-	GoTagihan – eKIR	gotagihan-ekir	Government & Public	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Regional vehicle-testing services may use regional marks; verify a canonical provider before import.
-	GoTagihan – PBB	gotagihan-pbb	Government & Public	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	PBB is a regional tax directory; no universal PBB logo should be guessed.
-	GoTagihan – PKB	gotagihan-pkb	Government & Public	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	PKB/Samsat is regional; named Samsat regions are tracked separately.
-	GoTagihan – Retribution	gotagihan-retribution	Government & Public	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Regional retribution directory; import only named current authorities.
-	GoTagihan – Regional Tax	gotagihan-regional-tax	Government & Public	Taxonomy category	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/help/gotagihan/apa-itu-gotagihan	current-help	2026-08-14	confirmed-current	research-only-generic	Regional tax directory; import only named current authorities.
-	GoTagihan – Zakat & Donations	gotagihan-zakat-donations	Zakat & Donations	Taxonomy category	GoTagihan	GoPay app	-	https://gopay.co.id/blog/gopay-kembali-raih-penghargaan-dari-baznas-ri	current-official-article	2026-08-14	confirmed-current	research-only-generic	Generic category metadata; named organisations are tracked below.
Payment / ID / telco-data / telkomsel	Telkomsel	telkomsel	Telco & Data	Prepaid; Telkomsel Halo postpaid	GoTagihan; GoPay promo	GoPay app	https://www.telkomsel.com	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists Telkomsel; Halo postpaid is separately named in official GoTagihan terms.
Payment / ID / telco-data / indosat	Indosat (IM3)	indosat	Telco & Data	Prepaid; postpaid	GoTagihan; GoPay promo	GoPay app	https://im3.id	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	GoPay promo names Indosat; current consumer brand is IM3. Indosat postpaid is separately named in terms.
Payment / ID / telco-data / xl	XL	xl	Telco & Data	Prepaid; XL postpaid	GoTagihan; GoPay promo	GoPay app	https://www.xl.co.id	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists XL; XL postpaid is separately named in terms.
Payment / ID / telco-data / axis	AXIS	axis	Telco & Data	Prepaid	GoTagihan; GoPay promo	GoPay app	https://www.axis.co.id	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists AXIS.
Payment / ID / telco-data / tri	Tri	tri	Telco & Data	Prepaid; postpaid	GoTagihan; GoPay promo	GoPay app	https://tri.co.id	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists Tri; Tri postpaid is separately named in terms.
Payment / ID / telco-data / smartfren	Smartfren	smartfren	Telco & Data	Prepaid; postpaid	GoTagihan; GoPay promo	GoPay app	https://www.smartfren.com	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists Smartfren; Smartfren postpaid is separately named in terms.
Payment / ID / telco-data / by-u	by.U	by-u	Telco & Data	Prepaid	GoTagihan; GoPay promo	GoPay app	https://www.byu.id	https://gopay.co.id/promo/gopulsa-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists by.U.
Payment / ID / telco-data / telkom-fixed-line	Telkom Fixed Line	telkom-fixed-line	Telco & Data	Fixed line postpaid	GoTagihan	GoPay app	https://www.telkom.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names Telkom fixed-line billing; the dynamic in-app biller list remains the final availability check.
Payment / ID / telco-data / telkomsel-halo	Telkomsel Halo	telkomsel-halo	Telco & Data	Postpaid	GoTagihan	GoPay app	https://www.telkomsel.com/halo	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; verify current in-app availability and whether Telkomsel uses the shared master mark.
Payment / ID / telco-data / xl-postpaid	XL Postpaid	xl-postpaid	Telco & Data	Postpaid	GoTagihan	GoPay app	https://www.xl.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; current prepaid XL row is separately tracked.
Payment / ID / telco-data / indosat-postpaid	Indosat Postpaid	indosat-postpaid	Telco & Data	Postpaid	GoTagihan	GoPay app	https://im3.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; current consumer brand is IM3 and must be checked before import.
Payment / ID / telco-data / smartfren-postpaid	Smartfren Postpaid	smartfren-postpaid	Telco & Data	Postpaid	GoTagihan	GoPay app	https://www.smartfren.com	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; verify current in-app biller.
Payment / ID / telco-data / tri-postpaid	Tri Postpaid	tri-postpaid	Telco & Data	Postpaid	GoTagihan	GoPay app	https://tri.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; verify current in-app biller.
Payment / ID / internet-tv / indihome	IndiHome	indihome	Internet & TV	Internet	GoTagihan; GoPay promo	GoPay app	https://www.indihome.co.id	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists IndiHome.
Payment / ID / internet-tv / biznet	Biznet	biznet	Internet & TV	Internet	GoTagihan; GoPay promo	GoPay app	https://www.biznetnetworks.com	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists Biznet; Biznet is also named in static terms.
Payment / ID / internet-tv / myrepublic	MyRepublic	myrepublic	Internet & TV	Internet	GoTagihan; GoPay promo	GoPay app	https://www.myrepublic.co.id	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists MyRepublic.
Payment / ID / internet-tv / xl-satu	XL Satu	xl-satu	Internet & TV	Internet	GoTagihan; GoPay promo	GoPay app	https://www.xl.co.id/satu	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists XL Satu; verify whether the master XL mark or product lockup is the canonical asset.
Payment / ID / internet-tv / cbn	CBN	cbn	Internet & TV	Internet	GoTagihan	GoPay app	https://cbn.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names CBN; the dynamic in-app biller list remains the final availability check.
Payment / ID / internet-tv / first-media	First Media	first-media	Internet & TV	Cable TV; internet	GoTagihan	GoPay app	https://firstmedia.com	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Current GoTagihan terms snapshot (2026-08-14) names First Media, but no clean canonical provider mark was retrievable in this pass; keep research-only until the current app and source asset are verified.
Payment / ID / internet-tv / k-vision	K-Vision	k-vision	Internet & TV	Satellite TV	GoTagihan	GoPay app	https://www.k-vision.tv	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names K-Vision; the dynamic in-app biller list remains the final availability check.
Payment / ID / internet-tv / mnc-vision	MNC Vision	mnc-vision	Internet & TV	Satellite TV	GoTagihan	GoPay app	https://www.mncvision.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names MNC Vision; the dynamic in-app biller list remains the final availability check.
Payment / ID / internet-tv / okevision	OkeVision	okevision	Internet & TV	Cable TV	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Static terms use OkeVision / OK Vision; confirm current brand or rebrand before sourcing.
Payment / ID / internet-tv / skynindo	Skynindo	skynindo	Internet & TV	Satellite TV	GoTagihan	GoPay app	https://www.skynindo.com	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Current GoTagihan terms snapshot (2026-08-14) names Skynindo, but the automated candidate was a different Haari Drama mark; reject it and keep the row research-only until an exact canonical Skynindo asset is verified.
Payment / ID / internet-tv / top-tv	TOP TV / TOP Vision	top-tv	Internet & TV	Satellite TV	GoTagihan	GoPay app	https://www.topvision.tv	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Static terms use TOP TV / TOP Vision; verify current product naming and mark.
Payment / ID / internet-tv / transvision	Transvision	transvision	Internet & TV	Satellite TV	GoTagihan	GoPay app	https://www.transvision.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names Transvision; the dynamic in-app biller list remains the final availability check.
Payment / ID / internet-tv / wifi-id	WiFi.ID	wifi-id	Internet & TV	Wi-Fi voucher	GoTagihan	GoPay app	https://wifi.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Current GoTagihan terms snapshot (2026-08-14) names WiFi.ID, but the public site did not expose a clean canonical provider mark in this pass; keep research-only until an exact asset is verified.
Payment / ID / utilities-bills / pln	PLN	pln	Utilities & Bills	Prepaid token; postpaid; non-taglis	GoTagihan; GoPay promo	GoPay app	https://pln.co.id	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists PLN and PLN Pascabayar; static terms also name PLN Token, Pascabayar, and Non-Taglis.
Payment / ID / utilities-bills / bpjs-kesehatan	BPJS Kesehatan	bpjs-kesehatan	Utilities & Bills	Health insurance bill	GoTagihan; GoPay promo	GoPay app	https://www.bpjs-kesehatan.go.id	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay promo catalogue lists BPJS; use the BPJS Kesehatan mark only after checking the current biller label.
Payment / ID / utilities-bills / pgn	PGN	pgn	Utilities & Bills	Gas bill	GoTagihan	GoPay app	https://pgn.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Current GoTagihan terms snapshot (2026-08-14) names PGN, but the available public logo candidates were either blocked or historical; keep research-only until a current exact mark is verified.
Payment / ID / utilities-bills / pegadaian	Pegadaian	pegadaian	Utilities & Bills	Pawnshop/finance bill	GoTagihan	GoPay app	https://www.pegadaian.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names Pegadaian; the dynamic in-app biller list remains the final availability check.
Payment / ID / e-money / mandiri-emoney	Mandiri e-money	mandiri-emoney	E-money	Balance top-up	GoTagihan; GoPay promo	GoPay app	https://www.bankmandiri.co.id/e-money	https://gopay.co.id/bantuan/pulsa-tagihan/cara-isi-saldo-emoney	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay help explicitly names Mandiri e-money; current promo page corroborates the product.
Payment / ID / e-money / bni-tapcash	BNI TapCash	bni-tapcash	E-money	Balance top-up	GoTagihan; GoPay promo	GoPay app	https://www.bni.co.id	https://gopay.co.id/bantuan/pulsa-tagihan/cara-isi-saldo-emoney	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay help explicitly names BNI TapCash; current promo page corroborates the product.
Payment / ID / e-money / flazz-bca	Flazz BCA	flazz-bca	E-money	Balance top-up	GoTagihan; GoPay promo	GoPay app	https://www.bca.co.id	https://gopay.co.id/bantuan/pulsa-tagihan/cara-isi-saldo-emoney	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay help explicitly names Flazz BCA; current promo page corroborates the product.
Payment / ID / e-money / kmt	KMT / Kartu Multi Trip	kmt	E-money	Balance top-up	GoTagihan; GoPay promo	GoPay app	-	https://gopay.co.id/promo/gotagihan-gopay	current-promo	2026-08-14	confirmed-conditional	review-source	Current promo exposes KMT, while the current e-money help page names only Mandiri e-money, BNI TapCash, and Flazz BCA; require in-app verification before import.
Payment / ID / finance-insurance / aeon	AEON	aeon	Finance & Insurance	Finance bill	GoTagihan	GoPay app	https://www.aeon.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names AEON; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / bfi-finance	BFI Finance	bfi-finance	Finance & Insurance	Finance installment	GoTagihan	GoPay app	https://www.bfi.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names BFI Finance; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / home-credit	Home Credit	home-credit	Finance & Insurance	Finance installment	GoTagihan	GoPay app	https://www.homecredit.co.id	https://gopay.co.id/blog/cara-bayar-home-credit	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay help documents Home Credit payment; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / mega-finance	Mega Finance	mega-finance	Finance & Insurance	Finance installment	GoTagihan	GoPay app	https://www.megafinance.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Current GoTagihan terms snapshot (2026-08-14) names Mega Finance, but the official asset endpoint was unavailable in this pass; keep research-only until a current exact mark is verified.
Payment / ID / finance-insurance / mega-auto-finance	Mega Auto Finance	mega-auto-finance	Finance & Insurance	Auto finance	GoTagihan	GoPay app	https://www.megautofinance.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; verify current in-app biller.
Payment / ID / finance-insurance / mega-central-finance	Mega Central Finance	mega-central-finance	Finance & Insurance	Finance installment	GoTagihan	GoPay app	https://www.megacentralfinance.com	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; verify current in-app biller.
Payment / ID / finance-insurance / oto-kredit-motor	OTO Kredit Motor	oto-kredit-motor	Finance & Insurance	Auto finance	GoTagihan	GoPay app	https://www.oto.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names OTO Kredit Motor; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / oto-kredit-mobil	OTO Kredit Mobil	oto-kredit-mobil	Finance & Insurance	Auto finance	GoTagihan	GoPay app	https://www.oto.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names OTO Kredit Mobil; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / suzuki-finance	Suzuki Finance	suzuki-finance	Finance & Insurance	Auto finance	GoTagihan	GoPay app	https://www.sfi.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names Suzuki Finance; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / prudential	Prudential	prudential	Finance & Insurance	Insurance premium	GoTagihan	GoPay app	https://www.prudential.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names Prudential; the dynamic in-app biller list remains the final availability check.
Payment / ID / finance-insurance / takaful	Takaful	takaful	Finance & Insurance	Insurance premium	GoTagihan	GoPay app	https://takaful.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; verify current in-app biller.
Payment / ID / government-public / ekir	eKIR	ekir	Government & Public	Vehicle inspection	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Static terms name eKIR as a service category; regional authority/logo must be verified in-app.
Payment / ID / government-public / samsat-jatim	SAMSAT JATIM	samsat-jatim	Government & Public	PKB; regional Samsat	GoTagihan	GoPay app	https://bapenda.jatimprov.go.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names SAMSAT JATIM; use the official regional Bapenda mark and keep app availability dated.
Payment / ID / government-public / samsat-jateng	SAMSAT JATENG	samsat-jateng	Government & Public	PKB; regional Samsat	GoTagihan	GoPay app	https://samsat.jatengprov.go.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay terms snapshot (2026-08-14) names SAMSAT JATENG; use the official regional Samsat mark and keep app availability dated.
Payment / ID / government-public / samsat-jabar	SAMSAT JABAR	samsat-jabar	Government & Public	PKB; regional Samsat	GoTagihan	GoPay app	https://bapenda.jabarprov.go.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay terms snapshot (2026-08-14) names SAMSAT JABAR; use the official regional Bapenda mark and keep app availability dated.
Payment / ID / government-public / samsat-banten	SAMSAT BANTEN	samsat-banten	Government & Public	PKB; regional Samsat	GoTagihan	GoPay app	https://bapenda.bantenprov.go.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay terms snapshot (2026-08-14) names SAMSAT BANTEN; use the official regional Bapenda mark and keep app availability dated.
Payment / ID / government-public / samsat-sumut	SAMSAT SUMUT	samsat-sumut	Government & Public	PKB; regional Samsat	GoTagihan	GoPay app	https://bapenda.sumutprov.go.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay terms snapshot (2026-08-14) names SAMSAT SUMUT; use the official regional Bapenda mark and keep app availability dated.
Payment / ID / government-public / samsat-sulsel	SAMSAT SULSEL	samsat-sulsel	Government & Public	PKB; regional Samsat	GoTagihan	GoPay app	-	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	terms-only-review	review-source	Named in static GoTagihan terms; use the current regional authority mark only after in-app verification.
Payment / ID / education-invoicing / spil	SPIL	spil	Education & Invoicing	E-invoicing	GoTagihan	GoPay app	https://www.spil.co.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names SPIL as an E-Invoicing provider; the dynamic in-app biller list remains the final availability check.
Payment / ID / education-invoicing / paper-id	Paper.id	paper-id	Education & Invoicing	E-invoicing	GoTagihan	GoPay app	https://paper.id	https://www.gojek.com/id-id/terms-and-conditions/gobills	current-terms	2026-08-14	confirmed-current	fetch-provider-mark	Current GoTagihan terms snapshot (2026-08-14) names Paper.id as an E-Invoicing provider; the dynamic in-app biller list remains the final availability check.
Payment / ID / streaming-subscriptions / netflix	Netflix	netflix	Streaming & Subscriptions	Subscription	Direct GoPay integration	GoPay app	https://www.netflix.com	https://www.gojek.com/id-id/help/gopay/pembayaran-di-netflix	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current official GoPay help documents Netflix payment through GoPay.
Payment / ID / streaming-subscriptions / spotify	Spotify	spotify	Streaming & Subscriptions	Subscription; entertainment voucher	Direct GoPay integration; GoPay Games; GoTagihan terms	GoPay app	https://www.spotify.com	https://www.gojek.com/id-id/help/gopay/pembayaran-di-aplikasi-spotify	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current official GoPay help documents Spotify payment; GoPay Games also lists a Spotify US product.
Payment / ID / streaming-subscriptions / disney-plus	Disney+	disney-plus	Streaming & Subscriptions	Subscription	Direct GoPay integration	GoPay app	https://www.disneyplus.com	https://www.gojek.com/id-id/help/gopay/pembayaran-di-disney-plus	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current official GoPay help index lists Disney+ payment through GoPay; verify exact live flow before import.
Payment / ID / streaming-subscriptions / youtube-premium	YouTube Premium / Music	youtube-premium	Streaming & Subscriptions	Subscription	Direct GoPay integration	GoPay app	https://www.youtube.com/premium	https://www.gojek.com/id-id/help/gopay/pembayaran-di-youtube-premium	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current official GoPay help index lists YouTube Premium/Music payment through GoPay.
Payment / ID / streaming-subscriptions / apple-services	Apple Services	apple-services	Streaming & Subscriptions	Subscription	Direct GoPay integration	GoPay app	https://www.apple.com/services/	https://www.gojek.com/id-id/help/gopay/pembayaran-di-apple-services	current-help	2026-08-14	confirmed-current	fetch-provider-mark	Current official GoPay help index lists Apple Services; use the Apple Services mark, not an App Store tile.
Payment / ID / streaming-subscriptions / vidio	Vidio	vidio	Streaming & Subscriptions	Streaming; entertainment voucher	GoPay Games; GoTagihan terms	GoPay app	https://www.vidio.com	https://gopay.co.id/games	live-catalog	2026-08-14	confirmed-current	fetch-provider-mark	Current GoPay Games catalogue lists Vidio; historical FIFA variants are treated as product variants/SKUs, not separate components.
